Index,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers
1,CHINA MAINLAND,219576,2975881,13.55,3134
2,USA,98578,1769823,17.95,1451
3,ENGLAND,33030,624986,18.92,702
4,INDIA,51359,535747,10.43,353
5,AUSTRALIA,23766,531018,22.34,605
6,CANADA,24892,512458,20.59,428
7,GERMANY (FED REP GER),24915,350580,14.07,312
8,FRANCE,23102,306921,13.29,220
9,SOUTH KOREA,25395,303760,11.96,293
10,SPAIN,22061,293000,13.28,212
11,ITALY,21395,290998,13.60,195
12,SINGAPORE,10975,267879,24.41,341
13,IRAN,17752,264356,14.89,199
14,HONG KONG,13075,253489,19.39,280
15,SAUDI ARABIA,14318,215833,15.07,233
16,JAPAN,16085,189479,11.78,207
17,TAIWAN,14730,174044,11.82,135
18,SWITZERLAND,6737,170357,25.29,78
19,TURKEY,8599,141879,16.50,97
20,PAKISTAN,10290,130827,12.71,85
21,NETHERLANDS,8939,129576,14.50,108
22,BRAZIL,10813,119049,11.01,69
23,SWEDEN,7077,118981,16.81,131
24,FINLAND,5349,114808,21.46,122
25,MALAYSIA,6566,110093,16.77,107
26,GREECE,5452,81579,14.96,62
27,BELGIUM,5483,73697,13.44,50
28,DENMARK,3947,73562,18.64,54
29,SCOTLAND,4358,71491,16.40,74
30,PORTUGAL,4994,70305,14.08,56
31,EGYPT,5236,69075,13.19,59
32,POLAND,5903,68706,11.64,44
33,AUSTRIA,5336,68513,12.84,61
34,NORWAY,4469,67354,15.07,69
35,VIETNAM,3727,63404,17.01,65
36,QATAR,2331,56881,24.40,71
37,MACAU,2538,56549,22.28,78
38,UNITED ARAB EMIRATES,4096,53231,13.00,72
39,ISRAEL,4918,49921,10.15,39
40,NEW ZEALAND,2777,47435,17.08,63
41,IRELAND,3132,45315,14.47,46
42,RUSSIA,6406,43686,6.82,37
43,JORDAN,2375,40945,17.24,46
44,MEXICO,3478,38770,11.15,28
45,SOUTH AFRICA,1716,36090,21.03,24
46,WALES,1819,35508,19.52,40
47,CZECH REPUBLIC,3459,32937,9.52,22
48,ALGERIA,2595,28655,11.04,27
49,TUNISIA,2897,26534,9.16,13
50,CHILE,2026,26294,12.98,22
51,IRAQ,1932,24906,12.89,27
52,NORTHERN IRELAND,1191,23578,19.80,23
53,LUXEMBOURG,1304,21183,16.24,25
54,THAILAND,1904,19282,10.13,11
55,BANGLADESH,1379,18089,13.12,18
56,SERBIA,1578,16471,10.44,17
57,SLOVENIA,1191,16407,13.78,12
58,LEBANON,1464,15985,10.92,33
59,ROMANIA,1633,15564,9.53,10
60,MOROCCO,1594,14997,9.41,7
61,ESTONIA,589,14788,25.11,3
62,HUNGARY,1487,14687,9.88,16
63,COLOMBIA,1251,13399,10.71,13
64,CYPRUS,829,11928,14.39,6
65,ARGENTINA,1247,10215,8.19,4
66,PALESTINE,237,9315,39.30,11
67,INDONESIA,1049,8763,8.35,4
68,KUWAIT,656,8567,13.06,9
69,NIGERIA,724,8310,11.48,7
70,LITHUANIA,601,7835,13.04,7
71,SLOVAKIA,925,6477,7.00,1
72,CROATIA,606,6344,10.47,2
73,TURKIYE,2340,5950,2.54,39
74,ECUADOR,444,5919,13.33,6
75,KAZAKHSTAN,389,5207,13.39,5
76,OMAN,519,4782,9.21,1
77,SRI LANKA,289,4641,16.06,6
78,YEMEN,415,4524,10.90,7
79,CUBA,242,3311,13.68,1
80,ETHIOPIA,492,3186,6.48,5
81,GHANA,274,2725,9.95,5
82,BULGARIA,304,2639,8.68,1
83,LIBYA,130,2589,19.92,4
84,BOSNIA & HERZEGOVINA,185,2491,13.46,3
85,LIECHTENSTEIN,78,2178,27.92,2
86,BAHRAIN,169,2174,12.86,3
87,UKRAINE,342,1915,5.60,1
88,PHILIPPINES,315,1898,6.03,2
89,AZERBAIJAN,146,1830,12.53,1
90,KENYA,153,1812,11.84,1
91,MACEDONIA,208,1765,8.49,0
92,CAMEROON,185,1734,9.37,1
93,PERU,173,1675,9.68,1
94,SUDAN,130,1625,12.50,1