Index,Institutions,Countries/Regions,Web of Science Documents,Cites,Cites/Paper,Top Papers,Latitude,Longitude
611,UNIVERSITE DE BORDEAUX,FRANCE,740,7465,10.09,3,44.8249738,-0.607076
612,XIANGTAN UNIVERSITY,CHINA,485,7446,15.35,14,27.8852618,112.8572449
613,YALE UNIVERSITY,USA,619,7443,12.02,5,39.6683274,-104.9269748
614,UNIVERSITY OF OKLAHOMA SYSTEM,USA,370,7430,20.08,7,37.570304,-77.537784
615,TRINITY COLLEGE DUBLIN,IRELAND,583,7390,12.68,6,53.3436671,-6.2544366
616,JOHANNES KEPLER UNIVERSITY LINZ,AUSTRIA,610,7382,12.1,2,48.33792,14.32071
617,LEIDEN UNIVERSITY - EXCL LUMC,NETHERLANDS,487,7381,15.16,9,52.25,5.75
618,CZECH TECHNICAL UNIVERSITY PRAGUE,CZECH REPUBLIC,743,7353,9.9,3,50.1029026,14.3946353
619,CZECH TECHNICAL UNIVERSITY PRAGUE,CZECH REPUBLIC,743,7353,9.9,3,50.1029026,14.3946353
620,BRAUNSCHWEIG UNIVERSITY OF TECHNOLOGY,GERMANY (FED REP GER),409,7322,17.9,9,51.5,10.5
621,UNIVERSITE FEDERALE TOULOUSE MIDI-PYRENEES (COMUE),FRANCE,742,7314,9.86,1,43.57574,1.402072
622,HUMBOLDT UNIVERSITY OF BERLIN,GERMANY (FED REP GER),551,7267,13.19,2,52.52437,13.41053
623,MAYO CLINIC,USA,276,7264,26.32,5,44.0225389,-92.4666075
624,LOUISIANA STATE UNIVERSITY,USA,495,7258,14.66,17,30.4062005,-91.1854129
625,ROCHESTER INSTITUTE OF TECHNOLOGY,USA,381,7247,19.02,4,43.0826701,-77.6729322
625,GEORGE WASHINGTON UNIVERSITY,USA,463,7247,15.65,3,38.8998938,-77.0474483
627,RICE UNIVERSITY,USA,449,7241,16.13,9,29.7167915,-95.4047811
628,KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY,CHINA,569,7226,12.7,3,24.8552956,102.8552716
629,UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES,FRANCE,379,7223,19.06,4,48.583324,7.764764
630,CEA,FRANCE,501,7218,14.41,8,46.1035246,-0.496507
631,UNIVERSITY OF BONN,GERMANY (FED REP GER),427,7187,16.83,6,50.73438,7.09549
632,BIRZEIT UNIVERSITY,PALESTINE,73,7180,98.36,8,31.95869,35.18071
633,UNIVERSITY OF IDAHO,USA,239,7169,30.0,8,46.7237978,-117.020439
634,PRINCE SATTAM BIN ABDULAZIZ UNIVERSITY,SAUDI ARABIA,1030,7145,6.94,9,24.1486906,47.2718897
635,UNIVERSITY OF FLORENCE,ITALY,605,7141,11.8,4,43.77925,11.24626
636,XINJIANG UNIVERSITY,CHINA,691,7137,10.33,3,43.7677182,87.6111589
637,UNIVERSITY OF ARKANSAS SYSTEM,USA,382,7115,18.63,7,37.570304,-77.537784
638,QUALCOMM,USA,389,7113,18.29,5,32.897262,-117.2185712
639,HENAN UNIVERSITY,CHINA,569,7030,12.36,11,34.8124658,114.3639396
640,TELECOM PARIS,FRANCE,671,7026,10.47,5,48.7131108,2.199685
641,LAWRENCE BERKELEY NATIONAL LABORATORY,USA,450,6997,15.55,8,37.8769588,-122.2456303
642,HENAN POLYTECHNIC UNIVERSITY,CHINA,547,6953,12.71,14,35.0,105.0
643,TIANJIN UNIVERSITY OF TECHNOLOGY,CHINA,464,6939,14.95,4,39.0621921,117.1333089
644,HEBEI UNIVERSITY OF TECHNOLOGY,CHINA,550,6932,12.6,11,37.9774255,114.5156097
645,INSTITUTO POLITECNICO NACIONAL - MEXICO,MEXICO,495,6891,13.92,5,19.4904434,-99.1326814
646,UNIVERSITY OF ROME TOR VERGATA,ITALY,499,6873,13.77,7,42.83333,12.83333
647,BIRLA INSTITUTE OF TECHNOLOGY & SCIENCE PILANI (BITS PILANI),INDIA,549,6858,12.49,7,15.3910477,73.8780016
647,UNIVERSITY OF GENOA,ITALY,595,6858,11.53,4,44.4148861,8.9266707
649,NEC CORPORATION,JAPAN,373,6845,18.35,4,35.68536,139.75309
650,UNIVERSITE GUSTAVE-EIFFEL,FRANCE,562,6816,12.13,6,48.8425993,2.5877352
651,NATIONAL INSTITUTE OF INFORMATICS (NII) - JAPAN,JAPAN,600,6806,11.34,5,35.68536,139.75309
652,SHAHID BAHONAR UNIVERSITY OF KERMAN (SBUK),IRAN,468,6782,14.49,5,29.75,57.25
653,UNIVERSITE DE MONTPELLIER,FRANCE,693,6758,9.75,3,43.6315655,3.8618177
654,K. N. TOOSI UNIVERSITY OF TECHNOLOGY,IRAN,570,6732,11.81,3,35.7644852,51.4097185
655,UNIV BOURGOGNE FRANCHE-COMTE COMUE,,620,6726,10.85,1,18.78378,100.77899
656,INSTITUTE OF SOFTWARE CAS,CHINA,790,6715,8.5,8,35.0,105.0
657,UNIVERSITY OF PORTSMOUTH,ENGLAND,326,6711,20.59,7,50.795245,-1.0935529
657,CHUNG ANG UNIVERSITY,SOUTH KOREA,644,6711,10.42,6,37.5080182,126.9612686
659,UNIVERSITY OF OKLAHOMA - NORMAN,USA,320,6697,20.93,7,35.1959878,-97.4457083
660,SHENZHEN RESEARCH INSTITUTE CITY UNIVERSITY OF HONG KONG,CHINA,241,6692,27.77,11,,
661,ECOLE POLYTECHNIQUE,FRANCE,581,6687,11.51,2,48.7127874,2.2107453
662,SOUTH CHINA NORMAL UNIVERSITY,CHINA,657,6680,10.17,8,23.142627,113.3394155
663,ISFAHAN UNIVERSITY OF TECHNOLOGY,IRAN,458,6679,14.58,5,32.7186844,51.5341465
664,SIMULA RES LAB,,285,6661,23.37,5,18.78378,100.77899
665,VRIJE UNIVERSITEIT BRUSSEL,BELGIUM,451,6652,14.75,6,50.8866772,4.3057494
666,UTAH STATE UNIVERSITY,USA,294,6613,22.49,6,41.7526959,-111.808733
667,UNIVERSITY OF SOUTHERN QUEENSLAND,AUSTRALIA,350,6612,18.89,14,-27.685222,152.90725
668,HEC MONTREAL,CANADA,230,6580,28.61,3,45.5036114,-73.6212922
669,UNIVERSITY OF TURKU,FINLAND,409,6554,16.02,10,60.4560731,22.2864097
670,ILLINOIS INSTITUTE OF TECHNOLOGY,USA,382,6553,17.15,2,41.8361641,-87.6264723
671,MIDDLESEX UNIVERSITY,ENGLAND,342,6544,19.13,8,51.6591227,-0.1333415
672,CURTIN UNIVERSITY,AUSTRALIA,467,6539,14.0,6,,
673,NORTH DAKOTA STATE UNIVERSITY FARGO,USA,262,6498,24.8,6,46.897155,-96.8182654
674,UNIVERSITY OF REGINA,CANADA,227,6493,28.6,6,50.4152275,-104.589
675,UNIVERSITY OF ARKANSAS FAYETTEVILLE,USA,329,6477,19.69,7,35.05266,-78.87836
676,HUNAN NORMAL UNIVERSITY,CHINA,560,6470,11.55,6,28.1909652,112.9450813
677,DELHI TECHNOLOGICAL UNIVERSITY,INDIA,603,6459,10.71,4,28.7508152,77.1162765
678,INDIAN INSTITUTE OF TECHNOLOGY BHU VARANASI (IIT BHU VARANASI),INDIA,491,6458,13.15,2,25.31668,83.01041
679,SHAOXING UNIVERSITY,CHINA,290,6452,22.25,17,29.9815292,120.5664365
680,INDIAN INSTITUTE OF SCIENCE (IISC) - BANGALORE,INDIA,756,6436,8.51,3,13.0222347,77.5671832
681,UNIVERSITY OF VIENNA,AUSTRIA,547,6423,11.74,5,48.2131469,16.35997
682,UNIVERSITY OF SHERBROOKE,CANADA,214,6417,29.99,4,45.40008,-71.89908
683,PICARDIE UNIV,,405,6416,15.84,6,18.78378,100.77899
684,SHIRAZ UNIVERSITY,IRAN,466,6415,13.77,4,29.6494974,52.5122319
685,SANDIA NATIONAL LABORATORIES,USA,450,6410,14.24,6,37.6736516,-121.7072096
686,UNIVERSITY OF NEW MEXICO,USA,418,6408,15.33,3,35.0866327,-106.6202094
687,COLORADO STATE UNIVERSITY,USA,387,6398,16.53,3,40.5706567,-105.0853995
687,NATIONAL INSTITUTE OF TECHNOLOGY ROURKELA,INDIA,538,6398,11.89,1,22.2501589,84.9066856
689,NATIONAL YUNLIN UNIVERSITY SCIENCE & TECHNOLOGY,TAIWAN,563,6394,11.36,14,23.6926012,120.5355247
690,SHIRAZ UNIVERSITY OF TECHNOLOGY,IRAN,390,6392,16.39,5,29.5837398,52.5800434
691,NORTHWEST UNIVERSITY XI'AN,CHINA,640,6370,9.95,5,34.2488975,108.9189773
692,NANTES UNIVERSITE,FRANCE,468,6341,13.55,5,47.2822396,-1.5151203
693,JORDAN UNIVERSITY OF SCIENCE & TECHNOLOGY,JORDAN,448,6338,14.15,3,32.4933999,35.9898545
694,OAK RIDGE NATIONAL LABORATORY,USA,513,6336,12.35,4,35.9301332,-84.3119307
695,UNIVERSITY OF RHODE ISLAND,USA,176,6328,35.95,6,41.4872969,-71.534465
696,MISSISSIPPI STATE UNIVERSITY,USA,356,6316,17.74,14,33.4386876,-88.7943232
697,LIVERPOOL JOHN MOORES UNIVERSITY,ENGLAND,286,6299,22.02,3,53.410799,-2.9886336
697,ERASMUS UNIVERSITY ROTTERDAM,NETHERLANDS,322,6299,19.56,6,51.9229232,4.4876249
699,UNIVERSITE CLAUDE BERNARD LYON 1,FRANCE,696,6290,9.04,5,45.7816645,4.8681545
700,INSTITUTE OF SCIENCE TOKYO,JAPAN,731,6289,8.6,2,35.5148297,139.4839706
701,FUJIAN UNIVERSITY OF TECHNOLOGY,CHINA,397,6285,15.83,7,26.0886465,119.3673436
702,NATIONAL INSTITUTE OF TECHNOLOGY PATNA,INDIA,499,6269,12.56,2,25.60222,85.11936
703,CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS (CONICET),ARGENTINA,688,6267,9.11,4,-42.7862795,-65.0076634
704,AL-BALQA APPLIED UNIVERSITY,JORDAN,303,6252,20.63,10,,
705,UNIVERSITY OF CAGLIARI,ITALY,421,6244,14.83,2,,
706,UNIVERSITE DE TUNIS-EL-MANAR,TUNISIA,528,6241,11.82,2,,
707,INDIAN INSTITUTE OF TECHNOLOGY (IIT) - INDORE,INDIA,410,6239,15.22,5,,
708,INHA UNIVERSITY,SOUTH KOREA,547,6234,11.4,6,,
709,UNIVERSITY OF ZARAGOZA,SPAIN,622,6226,10.01,0,,
710,UNIVERSIDADE DA CORUNA,SPAIN,553,6216,11.24,5,,
711,SHENZHEN RESEARCH INSTITUTE OF BIG DATA,CHINA,299,6207,20.76,15,,
712,AGH UNIVERSITY OF KRAKOW,POLAND,671,6205,9.25,1,,
713,BASQUE CENTER FOR APPLIED MATHEMATICS (BCAM),SPAIN,198,6192,31.27,6,40.0,-4.0
714,JIANGSU UNIVERSITY OF SCIENCE & TECHNOLOGY,CHINA,478,6185,12.94,3,,
715,UNIVERSITY OF PATRAS,GREECE,538,6181,11.49,4,38.2187045,21.7478949
716,LEBANESE AMERICAN UNIVERSITY,LEBANON,748,6171,8.25,27,33.8928356,35.4774984
717,GUANGXI UNIVERSITY,CHINA,667,6134,9.2,4,22.8465171,108.2909439
718,CITY UNIVERSITY OF NEW YORK (CUNY) SYSTEM,USA,411,6126,14.91,4,47.662374,-122.290702
719,ALIBABA GROUP,CHINA,661,6118,9.26,13,30.1918037,120.185449
720,FIRAT UNIVERSITY,TURKIYE,273,6114,22.4,5,39.0,35.0
721,NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY,INDIA,586,6089,10.39,3,28.6109477,77.0384563
722,KYUSHU UNIVERSITY,JAPAN,615,6069,9.87,7,33.6707768,130.4444986
723,KING KHALID UNIVERSITY,SAUDI ARABIA,825,6057,7.34,6,18.0888407,42.721944
724,ACADEMIA SINICA - TAIWAN,TAIWAN,607,6018,9.91,3,23.5,121.0
725,MURORAN INSTITUTE OF TECHNOLOGY,JAPAN,240,6009,25.04,11,42.3789521,141.0330785
726,UNIVERSITY OF CALIFORNIA SANTA BARBARA,USA,569,5990,10.53,1,34.4146025,-119.84581
727,RUPRECHT KARLS UNIVERSITY HEIDELBERG,GERMANY (FED REP GER),345,5989,17.36,8,49.40768,8.69079
728,UNIVERSIDADE FORTALEZA,BRAZIL,187,5965,31.9,4,-3.7687254,-38.4776938
729,UNIVERSITY OF MILANO-BICOCCA,ITALY,535,5943,11.11,3,45.5183378,9.2131683
730,JIANGSU NORMAL UNIVERSITY,CHINA,242,5939,24.54,7,34.1974731,117.1733316
730,TOKYO INSTITUTE OF TECHNOLOGY,JAPAN,690,5939,8.61,2,35.6050381,139.6827407
732,UNIVERSITY OF MIAMI,USA,295,5932,20.11,9,25.7172724,-80.2787069
733,AUTONOMOUS UNIVERSITY OF MADRID,SPAIN,441,5931,13.45,4,40.42526,-3.69063
734,UNIVERSITY OF NORTH TEXAS SYSTEM,USA,380,5927,15.6,2,32.868567,-117.228836
735,UNIVERSITY OF NORTH TEXAS DENTON,USA,379,5926,15.64,2,33.2098926,-97.1514762
736,UNIVERSITY OF CONNECTICUT,USA,461,5925,12.85,1,41.8111114,-72.2484134
737,GWANGJU INSTITUTE OF SCIENCE & TECHNOLOGY (GIST),SOUTH KOREA,404,5922,14.66,4,35.2281557,126.8421662
738,EAST CHINA JIAOTONG UNIVERSITY,CHINA,518,5917,11.42,9,28.746982,115.864259
739,RENSSELAER POLYTECHNIC INSTITUTE,USA,421,5905,14.03,6,42.7298969,-73.6796678
740,UNIVERSITY OF STRATHCLYDE,SCOTLAND,392,5900,15.05,6,55.8618812,-4.2419566
741,UNIVERSIDADE NOVA DE LISBOA,PORTUGAL,461,5887,12.77,6,38.7328407,-9.1602002
742,UNIVERSITI PUTRA MALAYSIA,MALAYSIA,514,5884,11.45,6,2.9918365,101.720677
743,SRM INSTITUTE OF SCIENCE & TECHNOLOGY CHENNAI,INDIA,1147,5860,5.11,5,13.08784,80.27847
744,WROCLAW UNIVERSITY OF SCIENCE & TECHNOLOGY,POLAND,459,5848,12.74,5,51.1082768,17.065678
745,IMT ATLANTIQUE,FRANCE,477,5845,12.25,4,48.3606868,-4.5716376
746,UNIVERSITY OF HAMBURG,GERMANY (FED REP GER),394,5822,14.78,5,53.5669,9.98389
747,ZHENGZHOU UNIVERSITY OF LIGHT INDUSTRY,CHINA,543,5801,10.68,13,34.7982906,113.648757
748,UNIVERSITY OF SALAMANCA,SPAIN,303,5799,19.14,3,40.9621455,-5.6690588
749,AUTONOMOUS UNIVERSITY OF BARCELONA,SPAIN,512,5775,11.28,6,41.66667,2.0
750,MAASTRICHT UNIVERSITY,NETHERLANDS,339,5768,17.01,10,50.8472026,5.6859414
751,CHAUDHARY CHARAN SINGH UNIVERSITY,INDIA,204,5764,28.25,6,28.967017,77.7388619
752,WARSAW UNIVERSITY OF TECHNOLOGY,POLAND,521,5749,11.03,4,52.2216394,21.0073798
753,DURHAM UNIVERSITY,ENGLAND,540,5734,10.62,5,54.7748224,-1.5643586
754,UNIVERSIDADE FEDERAL DE PERNAMBUCO,BRAZIL,637,5730,9.0,1,-8.0524236,-34.9510615
755,UNIVERSITY OF MILAN,ITALY,671,5727,8.54,4,45.4798585,9.2282438
756,ITMO UNIVERSITY,RUSSIA,336,5720,17.02,3,59.9567751,30.308711
757,PRINCE SULTAN UNIVERSITY,SAUDI ARABIA,499,5713,11.45,6,24.7346126,46.6982246
758,BABOL NOSHIRVANI UNIVERSITY OF TECHNOLOGY,IRAN,239,5707,23.88,6,36.5616601,52.6815349
759,UNIVERSITY OF SHARJAH,UNITED ARAB EMIRATES,502,5688,11.33,4,25.2878292,55.478969
760,UNIVERSITY OF INNSBRUCK,AUSTRIA,367,5683,15.49,5,47.26266,11.39454
761,UNITED STATES DEPARTMENT OF AGRICULTURE (USDA),USA,304,5681,18.69,3,38.8878412,-77.029994
761,UNIVERSITY OF ALABAMA TUSCALOOSA,USA,350,5681,16.23,4,33.2120822,-87.5396735
763,QINGDAO UNIVERSITY OF SCIENCE & TECHNOLOGY,CHINA,379,5680,14.99,6,36.1245211,120.4803757
764,UNIVERSITY OF PAVIA,ITALY,318,5663,17.81,4,45.1869265,9.1568768
764,SYRACUSE UNIVERSITY,USA,319,5663,17.75,6,43.0171129,-76.1185536
764,UNIVERSITY OF PUNJAB,PAKISTAN,383,5663,14.79,2,31.4471128,74.2679132
767,EDINBURGH NAPIER UNIVERSITY,SCOTLAND,386,5653,14.65,10,55.9311064,-3.2093902
768,UNIVERSITY OF BARCELONA,SPAIN,367,5647,15.39,6,41.3868595,2.1634784
769,ANHUI UNIVERSITY OF TECHNOLOGY,CHINA,308,5629,18.28,6,32.6366249,117.0045828
770,PUSAN NATIONAL UNIVERSITY,SOUTH KOREA,414,5625,13.59,8,35.2343498,129.0784068
771,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,SPAIN,266,5623,21.14,6,42.8750598,-8.5592569
772,FENG CHIA UNIVERSITY,TAIWAN,569,5620,9.88,3,24.1800576,120.6483607
773,TENCENT,CHINA,562,5605,9.97,9,22.8378087,114.9922502
774,UMM AL QURA UNIVERSITY,SAUDI ARABIA,618,5602,9.06,2,21.324832,39.9448821
775,UNIVERSITE CATHOLIQUE LOUVAIN,BELGIUM,383,5589,14.59,4,50.8212127,4.3495534
776,COMPLUTENSE UNIVERSITY OF MADRID,SPAIN,708,5582,7.88,1,40.42526,-3.69063
777,UNIVERSITY OF CATANIA,ITALY,420,5570,13.26,2,37.49223,15.07041
778,UNIVERSIDAD DE CASTILLA-LA MANCHA,SPAIN,673,5559,8.26,3,38.9969805,-3.9179267
779,CASE WESTERN RESERVE UNIVERSITY,USA,311,5558,17.87,10,41.4960534,-81.4195174
779,DONGGUAN UNIVERSITY OF TECHNOLOGY,CHINA,373,5558,14.9,5,23.053483,113.7685185
781,EURECOM,FRANCE,334,5555,16.63,5,43.6143795,7.0712057
782,UNIV TORONTO AFFILIATES,,255,5542,21.73,7,18.78378,100.77899
783,UNIV CONFEDERALE LEONARD DE VINCI,,491,5539,11.28,4,18.78378,100.77899
784,NORTHEAST NORMAL UNIVERSITY - CHINA,CHINA,343,5536,16.14,4,35.0,105.0
785,AIX-MARSEILLE UNIVERSITE,FRANCE,625,5513,8.82,1,43.5259126,5.4141035
786,GERMAN AEROSPACE CENTRE (DLR),GERMANY (FED REP GER),367,5510,15.01,8,4.75,11.83333
787,LAKEHEAD UNIVERSITY,CANADA,247,5507,22.3,7,44.5921404,-79.4594792
788,ERCIYES UNIVERSITY,TURKIYE,232,5506,23.73,6,38.7073914,35.5337566
789,UNIVERSITY OF MURCIA,SPAIN,558,5484,9.83,3,37.98704,-1.13004
790,UNIVERSITY OF TURIN,ITALY,538,5478,10.18,4,45.0691151,7.6898971
791,BOGAZICI UNIVERSITY,TURKIYE,443,5474,12.36,3,41.0868841,29.0441317
792,UNIVERSITY OF JINAN,CHINA,415,5429,13.08,3,23.0169995,113.4122665
793,NANJING AGRICULTURAL UNIVERSITY,CHINA,334,5427,16.25,9,35.0,105.0
794,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,BRAZIL,589,5411,9.19,2,-30.033315,-51.219944
795,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY,USA,195,5409,27.74,8,32.8972676,-80.0539221
796,UNIVERSITY OF NEW BRUNSWICK,CANADA,398,5407,13.59,3,45.9455202,-66.6401861
797,NATIONAL DONG HWA UNIVERSITY,TAIWAN,354,5405,15.27,4,23.8973249,121.542578
798,SHANTOU UNIVERSITY,CHINA,377,5399,14.32,8,23.4163248,116.6290685
799,ARGONNE NATIONAL LABORATORY,USA,469,5395,11.5,4,41.7091409,-87.9786221
800,VIRGINIA COMMONWEALTH UNIVERSITY,USA,345,5394,15.63,4,37.5461246,-77.4540609
801,INDIAN INSTITUTE OF TECHNOLOGY (IIT) - BOMBAY,INDIA,560,5385,9.62,4,19.1326186,72.9149702
801,AJOU UNIVERSITY,SOUTH KOREA,611,5385,8.81,1,37.2830024,127.0453782
803,ULSTER UNIVERSITY,NORTHERN IRELAND,376,5370,14.28,3,54.604374,-5.929176
804,OREGON STATE UNIVERSITY,USA,451,5368,11.9,2,44.5630559,-123.2839234
805,ENSTA PARIS,FRANCE,215,5344,24.86,2,,
806,WESTERN MICHIGAN UNIVERSITY,USA,117,5343,45.67,4,,
807,HACETTEPE UNIVERSITY,TURKIYE,358,5326,14.88,4,39.8674482,32.7353845
808,YUAN ZE UNIVERSITY,TAIWAN,528,5324,10.08,3,24.9686131,121.2675487
809,ISTITUTO DI SCIENZA E TECNOLOGIE DELL'INFORMAZIONE ALESSANDRO FAEDO (ISTI-CNR),ITALY,402,5323,13.24,4,46.19241,11.16128
810,INDIAN INSTITUTE OF TECHNOLOGY (IIT) - GUWAHATI,INDIA,644,5306,8.24,2,26.1924787,91.6946357
811,HEILONGJIANG UNIVERSITY,CHINA,296,5305,17.92,6,45.7066703,126.612399
812,TIANGONG UNIVERSITY,CHINA,454,5302,11.68,8,39.0645179,117.1052943
813,FORDHAM UNIVERSITY,USA,221,5289,23.93,4,40.8617344,-73.8860317
814,UNIVERSITY OF OVIEDO,SPAIN,531,5273,9.93,2,43.36029,-5.84476
815,UNIVERSITY OF WEST ENGLAND,ENGLAND,309,5251,16.99,5,51.5007679,-2.5503106
816,UNIVERSITY OF DUISBURG ESSEN,GERMANY (FED REP GER),408,5250,12.87,6,51.45657,7.01228
817,JAWAHARLAL NEHRU UNIVERSITY NEW DELHI,INDIA,430,5248,12.2,1,28.5401667,77.1645601
818,NANJING FORESTRY UNIVERSITY,CHINA,394,5247,13.32,8,32.0810664,118.811774
818,CNRS - NATIONAL INSTITUTE FOR MATHEMATICAL SCIENCES (INSMI),FRANCE,433,5247,12.12,2,48.654873,-2.023317
820,HUZHOU UNIVERSITY,CHINA,302,5242,17.36,14,35.0,105.0
821,UNIVERSIDADE DE VIGO,SPAIN,386,5241,13.58,4,42.1689885,-8.6837033
